date,PM2.5,SRHUM,STEMP,T640_TEMP
2023-08-26 23:58,7.854779,34.96513,40.75,24.81177
2023-08-26 23:57,7.933205,35.13075,40.75,24.82607
2023-08-26 23:56,7.938008,35.17448,40.625,24.83507
2023-08-26 23:55,7.96226,34.96665,40.75,24.81804
2023-08-26 23:54,8.023484,35.00947,40.75,24.84772
2023-08-26 23:53,8.089437,35.21483,40.54167,24.83545
2023-08-26 23:52,8.268519,35.01192,40.70833,24.84116
2023-08-26 23:51,8.383398,34.96922,40.75,24.79153
2023-08-26 23:50,8.53695,35.17705,40.625,24.90749
2023-08-26 23:49,8.741132,35.09289,40.66667,24.90076
2023-08-26 23:48,8.897501,34.97298,40.75,24.91987
2023-08-26 23:47,9.135543,35.09491,40.75,24.97301
2023-08-26 23:46,9.269364,35.09686,40.75,24.97548
2023-08-26 23:45,9.431405,35.09983,40.75,24.967
2023-08-26 23:44,9.602125,35.09773,40.75,24.9736
2023-08-26 23:43,9.718555,34.97523,40.75,24.9565
2023-08-26 23:42,9.82739,35.14043,40.75,24.97888
2023-08-26 23:41,9.848765,35.10155,40.70833,24.95524
2023-08-26 23:40,9.924254,35.06089,40.75,24.96363
2023-08-26 23:39,9.987267,34.97792,40.75,24.982
2023-08-26 23:38,9.949147,35.22681,40.75,24.96288
2023-08-26 23:37,9.90994,34.97657,40.875,24.98426
2023-08-26 23:36,9.814155,34.9793,40.95833,24.88873
2023-08-26 23:35,9.722255,35.18407,40.75,24.97712
2023-08-26 23:34,9.686882,35.22506,40.75,24.94297
2023-08-26 23:33,9.594327,34.936,40.83333,24.96573
2023-08-26 23:32,9.549153,34.85112,41,24.91086
2023-08-26 23:31,9.492316,35.06083,40.875,24.92208
2023-08-26 23:30,9.473347,35.22655,40.75,24.95195
2023-08-26 23:29,9.426861,35.05896,40.75,24.96242
2023-08-26 23:28,9.409608,34.9794,40.75,24.98581
2023-08-26 23:27,9.456774,35.1853,40.75,24.95263
2023-08-26 23:26,9.410158,35.14273,40.75,24.94311
2023-08-26 23:25,9.339014,34.81097,41,24.96706
2023-08-26 23:24,9.2855,35.0207,40.91667,24.95532
2023-08-26 23:23,9.164359,35.22808,40.75,24.94092
2023-08-26 23:22,9.19303,35.10234,40.79167,24.93876
2023-08-26 23:21,9.153638,34.72879,41,24.97935
2023-08-26 23:20,9.208029,34.85812,41,24.88435
2023-08-26 23:19,9.203967,35.22666,40.75,24.97165
2023-08-26 23:18,9.190816,35.18906,40.75,24.93475
2023-08-26 23:17,9.206013,34.98471,40.75,24.97076
2023-08-26 23:16,9.139789,35.02451,40.79167,24.98199
2023-08-26 23:15,9.099151,35.23536,40.75,24.94167
2023-08-26 23:14,9.09704,35.10868,40.75,24.94041
2023-08-26 23:13,9.098163,34.98543,40.75,24.96327
2023-08-26 23:12,9.104371,35.1117,40.75,24.95827
2023-08-26 23:11,9.101995,35.19468,40.75,24.94103
2023-08-26 23:10,8.970984,34.98641,40.75,24.96654
2023-08-26 23:09,8.893838,35.07109,40.75,24.97017
2023-08-26 23:08,8.896693,35.23472,40.75,24.93942
2023-08-26 23:07,8.916466,35.02993,40.75,24.95672
2023-08-26 23:06,8.952437,34.98849,40.75,24.96797
2023-08-26 23:05,9.043212,35.23641,40.75,24.93246
2023-08-26 23:04,9.060193,35.07215,40.75,24.92984
2023-08-26 23:03,9.015322,34.98798,41,24.97173
2023-08-26 23:02,9.119559,35.03141,40.875,24.9836
2023-08-26 23:01,9.170501,35.31926,40.75,24.93741
2023-08-26 23:00,9.159747,35.19497,40.75,24.91343
2023-08-26 22:59,9.322787,34.98861,40.75,24.93642
2023-08-26 22:58,9.391728,34.99048,40.95833,24.97213
2023-08-26 22:57,9.429675,35.11427,40.75,24.96468
2023-08-26 22:56,9.445706,35.24195,40.75,24.92231
2023-08-26 22:55,9.466834,35.07462,40.75,24.92753
2023-08-26 22:54,9.430473,34.99267,40.75,24.96852
2023-08-26 22:53,9.548066,35.07491,40.75,24.96507
2023-08-26 22:52,9.669255,35.23993,40.75,24.9165
2023-08-26 22:51,9.675056,35.03324,40.75,24.91981
2023-08-26 22:50,9.645553,34.70682,40.875,24.95641
2023-08-26 22:49,9.759545,35.03574,40.83333,24.96823
2023-08-26 22:48,9.757633,35.24337,40.75,24.92296
2023-08-26 22:47,9.71347,34.99817,40.75,24.932
2023-08-26 22:46,9.706229,34.83257,40.75,24.94489
2023-08-26 22:45,9.685475,35.16329,40.75,24.92011
2023-08-26 22:44,9.691247,35.04007,40.75,24.90468
2023-08-26 22:43,9.684317,34.79197,40.95833,24.94699
2023-08-26 22:42,9.602695,34.83518,40.95833,24.97979
2023-08-26 22:41,9.576544,35.04191,40.75,24.94403
2023-08-26 22:40,9.540139,35.12433,40.75,24.91693
2023-08-26 22:39,9.559588,34.79516,40.75,24.93433
2023-08-26 22:38,9.483889,34.8359,40.75,24.94446
2023-08-26 22:37,9.417641,35.08583,40.75,24.91471
2023-08-26 22:36,9.373488,34.79606,40.75,24.92861
