date,PM2_5_933,PM10_933,SOX_933,NOX_933,Temp_933,Hum_933
8/26/2023 10:41:39 AM,4,4,497.74,12.35,23.9,90
8/26/2023 10:39:40 AM,5,5,470.87,44.59,24,91
8/26/2023 10:38:38 AM,5,5,467.97,47.11,23.9,91
8/26/2023 10:37:38 AM,4,4,467.33,46.65,24,90
8/26/2023 10:36:39 AM,5,5,469.02,48.37,24,91
8/26/2023 10:35:36 AM,4,4,467.96,42.9,24,90
8/26/2023 10:34:37 AM,6,6,468.88,43.51,23.9,90
8/26/2023 10:33:38 AM,4,4,463.12,41.24,23.9,90
8/26/2023 10:32:37 AM,7,7,463.77,40.64,23.9,90
8/26/2023 10:31:30 AM,7,8,461.67,40.34,23.8,91
8/26/2023 10:30:28 AM,7,7,467.15,41.22,23.7,91
8/26/2023 10:29:29 AM,5,5,469.56,41.66,23.6,92
8/26/2023 10:28:35 AM,8,9,470.32,40.67,23.5,92
8/26/2023 10:27:30 AM,5,5,473.03,41.81,23.5,92
8/26/2023 10:26:29 AM,5,5,469.91,42.81,23.5,92
8/26/2023 10:25:29 AM,6,6,465.74,45.29,23.6,91
8/26/2023 10:24:30 AM,5,5,463.54,46.59,23.5,92
8/26/2023 10:23:25 AM,6,6,460.79,44.44,23.6,92
8/26/2023 10:22:16 AM,8,9,465.47,44.21,23.5,92
8/26/2023 10:21:20 AM,6,6,465.32,44.35,23.5,92
8/26/2023 10:20:33 AM,6,6,463.9,44.9,23.4,92
8/26/2023 10:19:16 AM,6,7,458.67,45.41,23.4,92
8/26/2023 10:18:17 AM,7,8,454.97,45.83,23.4,93
8/26/2023 10:17:18 AM,8,9,459.04,46.83,23.4,93
8/26/2023 10:16:27 AM,9,10,463.27,48.53,23.4,93
8/26/2023 10:15:22 AM,8,9,469.08,47.13,23.4,93
8/26/2023 10:14:18 AM,8,9,462.93,45.49,23.3,93
8/26/2023 10:13:17 AM,6,6,468.6,44.1,23.3,93
8/26/2023 10:12:28 AM,7,7,468.03,43.83,23.3,93
8/26/2023 10:11:17 AM,9,10,467.87,44.78,23.3,93
8/26/2023 10:10:16 AM,9,10,465.41,45.76,23.3,93
8/26/2023 10:09:17 AM,8,9,467.37,46.16,23.3,93
8/26/2023 10:08:18 AM,10,11,471,45.65,23.3,93
8/26/2023 10:07:17 AM,6,7,462.59,45.15,23.4,92
8/26/2023 10:06:17 AM,5,5,454.29,44.55,23.5,92
8/26/2023 10:05:16 AM,6,6,439.35,43.21,23.5,92
8/26/2023 10:04:04 AM,6,6,464.25,54.03,23.5,92
8/26/2023 10:02:57 AM,6,6,464.88,52.75,23.5,92
8/26/2023 10:01:58 AM,6,6,468.54,57.11,23.6,92
8/26/2023 10:00:58 AM,7,7,472.52,47.96,23.6,92
8/26/2023 9:59:57 AM,7,7,474.97,49.96,23.7,92
8/26/2023 9:58:08 AM,6,6,477.64,58.7,23.7,92
8/26/2023 9:56:57 AM,9,10,474.33,54.58,23.7,92
8/26/2023 9:55:57 AM,6,6,472.78,57.61,23.7,92
