date,PM2_5_950,PM10_950,SOX_950,NOX_950,Temp_950,Hum_950
8/26/2023 10:41:25 AM,6,6,602.23,46.05,24.1,95
8/26/2023 10:40:10 AM,4,4,593.11,46.29,24.2,95
8/26/2023 10:39:05 AM,4,4,589.41,46.13,24.2,95
8/26/2023 10:38:05 AM,6,6,593.86,45.72,24.2,95
8/26/2023 10:37:23 AM,6,6,595.54,45.8,24.2,95
8/26/2023 10:35:42 AM,6,6,598.6,45.85,24.1,94
8/26/2023 10:34:49 AM,5,5,597.21,45.72,24.1,94
8/26/2023 10:33:46 AM,4,4,601.96,45.92,24,95
8/26/2023 10:32:42 AM,5,5,601.76,46.23,24,95
8/26/2023 10:31:40 AM,8,9,598.38,46.61,23.9,95
8/26/2023 10:30:40 AM,7,7,601.62,46.99,23.8,96
8/26/2023 10:29:40 AM,5,5,605.27,46.4,23.8,96
8/26/2023 10:28:58 AM,6,6,604.6,46.66,23.7,97
8/26/2023 10:27:40 AM,4,4,602.57,46.14,23.7,97
8/26/2023 10:26:55 AM,6,6,597.78,46.06,23.6,97
8/26/2023 10:25:42 AM,6,6,595.29,46.09,23.6,96
8/26/2023 10:24:41 AM,6,6,600.04,46.72,23.6,97
8/26/2023 10:23:36 AM,6,6,608.61,47.06,23.6,97
8/26/2023 10:22:38 AM,8,9,608.08,46.53,23.6,97
8/26/2023 10:21:36 AM,4,4,603.35,47.26,23.6,97
8/26/2023 10:20:23 AM,7,7,607.36,47.52,23.5,97
8/26/2023 10:19:25 AM,5,5,601.19,47.78,23.5,97
8/26/2023 10:18:23 AM,7,7,602.93,47.94,23.5,98
8/26/2023 10:17:32 AM,7,7,598.74,47.19,23.4,98
8/26/2023 10:15:23 AM,8,9,594.98,46.79,23.4,98
8/26/2023 10:14:22 AM,8,9,603.76,47.31,23.4,98
8/26/2023 10:13:23 AM,8,9,609.18,47.47,23.3,98
8/26/2023 10:12:29 AM,7,8,604.06,47.12,23.3,98
8/26/2023 10:11:25 AM,8,9,603.6,47.18,23.3,98
8/26/2023 10:10:22 AM,7,8,606.57,47.62,23.3,98
8/26/2023 10:09:26 AM,9,10,609.24,47.71,23.3,98
8/26/2023 10:08:24 AM,6,6,606.44,47.48,23.3,98
8/26/2023 10:07:37 AM,7,8,604.94,47.59,23.4,98
8/26/2023 10:06:41 AM,6,6,602.13,47.69,23.4,97
8/26/2023 10:05:22 AM,5,5,609.2,45.95,23.5,97
8/26/2023 10:04:32 AM,5,5,609.46,45.06,23.6,97
8/26/2023 10:03:22 AM,6,6,601.83,45.29,23.6,97
8/26/2023 10:02:25 AM,7,7,606.9,45.85,23.6,97
8/26/2023 10:01:26 AM,8,9,604.05,46.04,23.7,97
8/26/2023 10:00:22 AM,5,5,612.51,46,23.7,97
8/26/2023 9:59:34 AM,6,6,608.19,46.93,23.7,97
8/26/2023 9:58:24 AM,8,9,602.14,47.05,23.8,97
8/26/2023 9:57:23 AM,10,11,602.97,46.89,23.8,96
8/26/2023 9:56:24 AM,8,9,600.48,46.39,23.8,96
8/26/2023 9:55:23 AM,5,5,598.32,46.08,23.9,96
8/26/2023 9:54:24 AM,8,9,597.66,45.87,23.9,96
8/26/2023 9:53:41 AM,5,5,596.18,45.74,24,96
8/26/2023 9:52:25 AM,6,6,599.49,45.66,24.1,95
8/26/2023 9:51:29 AM,7,7,596.04,46.08,24.1,95
8/26/2023 9:50:25 AM,5,5,590.96,45.25,24.2,94
8/26/2023 9:49:22 AM,6,6,601.65,44.75,24.4,94
8/26/2023 9:48:30 AM,10,11,614.57,44.44,24.4,95
8/26/2023 9:47:22 AM,9,10,619.01,43.67,24.5,96
8/26/2023 9:46:41 AM,10,11,615.85,42.61,24.5,96
8/26/2023 9:45:25 AM,12,13,609.27,45.3,24.5,96
8/26/2023 9:44:18 AM,11,12,612.85,45.99,24.5,95
8/26/2023 9:43:18 AM,8,9,608.76,46.52,24.6,95
8/26/2023 9:42:28 AM,12,13,608.26,47.2,24.6,95
8/26/2023 9:41:18 AM,11,12,601.31,46.89,24.6,96
8/26/2023 9:40:17 AM,12,13,599.84,46.33,24.5,97
8/26/2023 9:39:21 AM,11,12,600.91,46.31,24.4,97
8/26/2023 9:38:21 AM,11,12,598.21,46.42,24.2,97
8/26/2023 9:37:19 AM,11,12,601.86,46.89,24.1,97
8/26/2023 9:36:17 AM,12,13,600.28,47.92,24,97
8/26/2023 9:35:20 AM,13,14,598.08,48.02,24,97
8/26/2023 9:34:20 AM,11,12,593.95,47.42,23.9,97
8/26/2023 9:33:18 AM,12,13,595.21,46.72,23.8,97
8/26/2023 9:32:17 AM,12,13,604.72,46.11,23.8,97
8/26/2023 9:31:17 AM,12,13,606.36,46.6,23.7,97
8/26/2023 9:30:24 AM,10,11,606.09,46.73,23.6,97
8/26/2023 9:29:17 AM,9,10,602.31,47.51,23.6,97
8/26/2023 9:28:20 AM,9,10,601.6,46.55,23.5,97
8/26/2023 9:27:24 AM,9,10,603.41,46.57,23.5,97
8/26/2023 9:26:37 AM,7,7,606.33,46.8,23.6,97
8/26/2023 9:25:16 AM,9,10,607.01,47.62,23.6,97
8/26/2023 9:24:21 AM,10,11,603,47.14,23.7,97
8/26/2023 9:23:15 AM,9,10,595.88,46.78,23.6,97
8/26/2023 9:22:18 AM,9,10,598.17,46.34,23.7,96
8/26/2023 9:21:14 AM,10,11,596.07,46.36,23.8,97
8/26/2023 9:20:16 AM,11,13,598,46.44,23.8,97
8/26/2023 9:19:31 AM,11,12,600.14,46.63,23.8,97
8/26/2023 9:18:14 AM,11,12,599.7,45.71,23.8,97
8/26/2023 9:17:16 AM,8,9,600.67,45.2,23.8,96
8/26/2023 9:16:14 AM,12,13,599.42,45.31,23.9,97
8/26/2023 9:15:15 AM,13,14,599.69,45.77,23.8,97
8/26/2023 9:14:25 AM,13,15,607.59,45.67,23.9,97
8/26/2023 9:13:15 AM,11,12,614.76,45.04,23.8,97
8/26/2023 9:12:19 AM,11,12,625.58,44.12,23.8,97
8/26/2023 9:11:27 AM,12,13,627.7,43.16,23.8,97
8/26/2023 9:10:11 AM,12,13,607.13,44.7,23.7,97
8/26/2023 9:09:09 AM,11,12,609.92,45.98,23.7,97
8/26/2023 9:08:08 AM,11,12,611.6,47.43,23.7,97
8/26/2023 9:07:08 AM,13,14,613.49,47.31,23.7,97
8/26/2023 9:06:24 AM,12,13,611.23,47.98,23.7,97
8/26/2023 9:05:21 AM,13,14,608.44,48.15,23.7,97
8/26/2023 9:04:09 AM,11,12,608,47.3,23.7,97
8/26/2023 9:03:10 AM,11,12,605.29,47.62,23.7,97
8/26/2023 9:02:09 AM,12,13,606.44,47.35,23.8,97
8/26/2023 9:01:09 AM,15,17,606.87,47.78,23.8,97
8/26/2023 9:00:09 AM,12,13,607.39,48.02,23.8,96
8/26/2023 8:59:12 AM,10,11,600.99,47.31,23.9,95
8/26/2023 8:58:27 AM,9,10,601.12,46.9,23.9,95
8/26/2023 8:57:04 AM,9,11,595.84,45.48,24.1,94
8/26/2023 8:56:04 AM,6,6,594.93,45.7,24.1,94
