date,PM2.5
04/08/2023 00:01,11
04/08/2023 00:02,10
04/08/2023 00:03,7
04/08/2023 00:04,7
04/08/2023 00:05,7
04/08/2023 00:06,7
04/08/2023 00:07,7
04/08/2023 00:08,10
04/08/2023 00:09,8
04/08/2023 00:10,8
04/08/2023 00:11,9
04/08/2023 00:12,9
04/08/2023 00:13,10
04/08/2023 00:14,8
04/08/2023 00:15,8
04/08/2023 00:17,7
04/08/2023 00:18,8
04/08/2023 00:19,7
04/08/2023 00:20,9
04/08/2023 00:21,8
04/08/2023 00:23,7
04/08/2023 00:24,8
04/08/2023 00:25,8
04/08/2023 00:26,8
04/08/2023 00:27,7
04/08/2023 00:28,9
04/08/2023 00:29,8
04/08/2023 00:30,8
04/08/2023 00:31,9
04/08/2023 00:32,8
04/08/2023 00:33,8
04/08/2023 00:34,8
04/08/2023 00:35,8
04/08/2023 00:36,7
04/08/2023 00:37,8
04/08/2023 00:38,8
04/08/2023 00:39,8
04/08/2023 00:40,7
04/08/2023 00:41,8
04/08/2023 00:42,7
04/08/2023 00:43,9
04/08/2023 00:44,8
04/08/2023 00:45,8
04/08/2023 00:46,7
04/08/2023 00:47,6
04/08/2023 00:48,8
04/08/2023 00:49,9
04/08/2023 00:50,9
04/08/2023 00:51,8
04/08/2023 00:52,8
04/08/2023 00:53,8
04/08/2023 00:54,8
04/08/2023 00:55,8
04/08/2023 00:56,9
04/08/2023 00:57,7
04/08/2023 00:58,9
04/08/2023 00:59,11
04/08/2023 01:00,9
04/08/2023 01:01,8
04/08/2023 01:02,9
04/08/2023 01:03,9
04/08/2023 01:04,8
04/08/2023 01:05,7
04/08/2023 01:06,8
04/08/2023 01:08,7
04/08/2023 01:10,7
04/08/2023 01:11,7
04/08/2023 01:12,7
04/08/2023 01:13,8
04/08/2023 01:14,10
04/08/2023 01:15,7
04/08/2023 01:16,8
04/08/2023 01:17,8
04/08/2023 01:18,7
04/08/2023 01:19,8
04/08/2023 01:20,9
04/08/2023 01:21,8
04/08/2023 01:22,8
04/08/2023 01:23,9
04/08/2023 01:24,9
04/08/2023 01:25,7
04/08/2023 01:26,7
04/08/2023 01:27,6
04/08/2023 01:28,7
04/08/2023 01:29,7
04/08/2023 01:30,8
04/08/2023 01:31,8
04/08/2023 01:32,8
04/08/2023 01:33,8
04/08/2023 01:34,8
04/08/2023 01:35,7
04/08/2023 01:36,8
04/08/2023 01:37,10
04/08/2023 01:38,9
04/08/2023 01:39,8
04/08/2023 01:40,7
04/08/2023 01:41,8
04/08/2023 01:42,7
04/08/2023 01:43,6
04/08/2023 01:44,6
04/08/2023 01:45,6
04/08/2023 01:46,6
04/08/2023 01:47,6
04/08/2023 01:48,6
04/08/2023 01:49,7
04/08/2023 01:50,6
04/08/2023 01:51,8
04/08/2023 01:52,8
04/08/2023 01:53,6
04/08/2023 01:54,6
04/08/2023 01:55,8
04/08/2023 01:56,7
04/08/2023 01:57,6
04/08/2023 01:58,6
04/08/2023 01:59,6
04/08/2023 02:00,7
04/08/2023 02:01,6
04/08/2023 02:02,6
04/08/2023 02:03,7
04/08/2023 02:04,6
04/08/2023 02:05,6
04/08/2023 02:06,7
04/08/2023 02:07,5
04/08/2023 02:08,6
04/08/2023 02:09,6
04/08/2023 02:10,6
04/08/2023 02:11,6
04/08/2023 02:13,8
04/08/2023 02:14,6
04/08/2023 02:15,6
04/08/2023 02:16,6
04/08/2023 02:17,6
04/08/2023 02:18,7
04/08/2023 02:19,7
04/08/2023 02:20,8
04/08/2023 02:22,6
04/08/2023 02:23,5
04/08/2023 02:24,6
04/08/2023 02:25,6
04/08/2023 02:27,6
04/08/2023 02:28,5
04/08/2023 02:29,5
04/08/2023 02:30,6
04/08/2023 02:31,7
04/08/2023 02:32,5
04/08/2023 02:33,6
04/08/2023 02:34,6
04/08/2023 02:35,6
04/08/2023 02:36,6
04/08/2023 02:37,7
04/08/2023 02:38,6
04/08/2023 02:39,6
04/08/2023 02:40,6
04/08/2023 02:41,6
04/08/2023 02:42,6
04/08/2023 02:43,7
04/08/2023 02:44,9
04/08/2023 02:45,7
04/08/2023 02:46,7
04/08/2023 02:47,7
04/08/2023 02:48,7
04/08/2023 02:49,7
04/08/2023 02:50,7
04/08/2023 02:51,7
04/08/2023 02:52,8
04/08/2023 02:53,7
04/08/2023 02:54,7
04/08/2023 02:55,7
04/08/2023 02:56,7
04/08/2023 02:57,7
04/08/2023 02:58,7
04/08/2023 02:59,7
04/08/2023 03:01,7
04/08/2023 03:02,6
04/08/2023 03:03,7
04/08/2023 03:04,7
04/08/2023 03:05,8
04/08/2023 03:06,7
04/08/2023 03:07,6
04/08/2023 03:08,8
04/08/2023 03:10,7
04/08/2023 03:11,7
04/08/2023 03:12,6
04/08/2023 03:13,6
04/08/2023 03:14,7
04/08/2023 03:15,6
04/08/2023 03:16,6
04/08/2023 03:17,7
04/08/2023 03:18,6
04/08/2023 03:19,6
04/08/2023 03:20,7
04/08/2023 03:21,8
04/08/2023 03:22,9
04/08/2023 03:23,9
04/08/2023 03:24,9
04/08/2023 03:25,9
04/08/2023 03:26,9
04/08/2023 03:27,8
04/08/2023 03:28,8
04/08/2023 03:29,8
04/08/2023 03:30,8
04/08/2023 03:31,7
04/08/2023 03:32,7
04/08/2023 03:33,8
04/08/2023 03:34,7
04/08/2023 03:35,7
04/08/2023 03:36,10
04/08/2023 03:37,9
04/08/2023 03:38,8
04/08/2023 03:39,7
04/08/2023 03:40,8
04/08/2023 03:41,5
04/08/2023 03:42,6
04/08/2023 03:43,6
04/08/2023 03:44,7
04/08/2023 03:45,6
04/08/2023 03:47,7
04/08/2023 03:48,6
04/08/2023 03:49,6
04/08/2023 03:50,6
04/08/2023 03:51,6
04/08/2023 03:52,6
04/08/2023 03:53,6
04/08/2023 03:54,5
04/08/2023 03:55,7
04/08/2023 03:56,5
04/08/2023 03:57,7
04/08/2023 03:58,7
04/08/2023 03:59,6
04/08/2023 04:00,7
04/08/2023 04:01,6
04/08/2023 04:02,7
04/08/2023 04:03,7
04/08/2023 04:04,7
04/08/2023 04:05,6
04/08/2023 04:06,8
04/08/2023 04:07,7
04/08/2023 04:08,10
04/08/2023 04:09,8
04/08/2023 04:10,9
04/08/2023 04:11,7
04/08/2023 04:12,7
04/08/2023 04:14,10
04/08/2023 04:16,9
04/08/2023 04:17,10
04/08/2023 04:18,9
04/08/2023 04:19,11
04/08/2023 04:21,9
04/08/2023 04:22,8
04/08/2023 04:23,9
04/08/2023 04:24,10
04/08/2023 04:25,9
04/08/2023 04:26,8
04/08/2023 04:27,7
04/08/2023 04:28,8
04/08/2023 04:29,8
04/08/2023 04:31,9
04/08/2023 04:32,10
04/08/2023 04:33,7
04/08/2023 04:34,7
04/08/2023 04:35,7
04/08/2023 04:36,9
04/08/2023 04:37,8
04/08/2023 04:38,9
04/08/2023 04:39,8
04/08/2023 04:40,8
04/08/2023 04:41,7
04/08/2023 04:42,8
04/08/2023 04:43,7
04/08/2023 04:44,7
04/08/2023 04:45,9
04/08/2023 04:46,7
04/08/2023 04:47,8
04/08/2023 04:48,9
04/08/2023 04:49,8
04/08/2023 04:50,8
04/08/2023 04:51,8
04/08/2023 04:52,9
04/08/2023 04:53,8
04/08/2023 04:54,8
04/08/2023 04:55,6
04/08/2023 04:56,7
04/08/2023 04:57,8
04/08/2023 04:58,7
04/08/2023 04:59,6
04/08/2023 05:00,6
04/08/2023 05:01,8
04/08/2023 05:02,8
04/08/2023 05:03,8
04/08/2023 05:04,8
04/08/2023 05:05,8
04/08/2023 05:06,7
04/08/2023 05:07,7
04/08/2023 05:08,6
04/08/2023 05:09,7
04/08/2023 05:10,5
04/08/2023 05:11,7
04/08/2023 05:12,6
04/08/2023 05:13,7
04/08/2023 05:14,6
04/08/2023 05:15,6
04/08/2023 05:16,6
04/08/2023 05:17,8
04/08/2023 05:18,5
04/08/2023 05:19,6
04/08/2023 05:20,6
04/08/2023 05:22,6
04/08/2023 05:23,6
04/08/2023 05:24,6
04/08/2023 05:25,6
04/08/2023 05:26,6
04/08/2023 05:27,6
04/08/2023 05:28,5
04/08/2023 05:29,5
04/08/2023 05:30,6
04/08/2023 05:31,6
04/08/2023 05:32,7
04/08/2023 05:33,7
04/08/2023 05:34,7
04/08/2023 05:35,7
04/08/2023 05:36,7
04/08/2023 05:37,5
04/08/2023 05:38,6
04/08/2023 05:39,6
04/08/2023 05:40,6
04/08/2023 05:41,6
04/08/2023 05:42,7
04/08/2023 05:43,6
04/08/2023 05:44,9
04/08/2023 05:45,8
04/08/2023 05:46,7
04/08/2023 05:47,7
04/08/2023 05:48,7
04/08/2023 05:50,8
04/08/2023 05:50,7
04/08/2023 05:51,7
04/08/2023 05:52,8
04/08/2023 05:53,7
04/08/2023 05:54,7
04/08/2023 05:55,7
04/08/2023 05:56,8
04/08/2023 05:57,7
04/08/2023 05:58,8
04/08/2023 05:59,7
04/08/2023 06:00,7
04/08/2023 06:01,7
04/08/2023 06:02,6
04/08/2023 06:03,8
04/08/2023 06:04,7
04/08/2023 06:05,7
04/08/2023 06:06,8
04/08/2023 06:07,8
04/08/2023 06:08,8
04/08/2023 06:09,9
04/08/2023 06:11,7
04/08/2023 06:11,7
04/08/2023 06:12,7
04/08/2023 06:13,9
04/08/2023 06:14,9
04/08/2023 06:15,8
04/08/2023 06:16,6
04/08/2023 06:17,7
04/08/2023 06:18,8
04/08/2023 06:19,9
04/08/2023 06:20,8
04/08/2023 06:21,9
04/08/2023 06:22,9
04/08/2023 06:23,8
04/08/2023 06:24,9
04/08/2023 06:25,10
04/08/2023 06:26,9
04/08/2023 06:27,8
04/08/2023 06:28,9
04/08/2023 06:29,10
04/08/2023 06:30,9
04/08/2023 06:31,10
04/08/2023 06:32,10
04/08/2023 06:33,10
04/08/2023 06:34,11
04/08/2023 06:35,13
04/08/2023 06:36,12
04/08/2023 06:37,11
04/08/2023 06:38,15
04/08/2023 06:39,12
04/08/2023 06:40,13
04/08/2023 06:41,11
04/08/2023 06:42,15
04/08/2023 06:43,12
04/08/2023 06:44,13
04/08/2023 06:45,11
04/08/2023 06:46,11
04/08/2023 06:47,9
04/08/2023 06:48,10
04/08/2023 06:49,9
04/08/2023 06:50,9
04/08/2023 06:51,12
04/08/2023 06:52,10
04/08/2023 06:53,10
04/08/2023 06:54,10
04/08/2023 06:55,10
04/08/2023 06:56,12
04/08/2023 06:57,12
04/08/2023 07:00,18
04/08/2023 07:00,15
04/08/2023 07:01,14
04/08/2023 07:02,20
04/08/2023 07:03,87
04/08/2023 07:04,68
04/08/2023 07:05,40
04/08/2023 07:06,31
04/08/2023 07:07,43
04/08/2023 07:08,32
04/08/2023 07:09,38
04/08/2023 07:10,35
04/08/2023 07:13,64
04/08/2023 07:13,49
04/08/2023 07:14,27
04/08/2023 07:15,18
04/08/2023 07:16,13
04/08/2023 07:17,12
04/08/2023 07:18,13
04/08/2023 07:20,18
04/08/2023 07:20,21
04/08/2023 07:21,14
04/08/2023 07:22,14
04/08/2023 07:24,8
04/08/2023 07:25,10
04/08/2023 07:26,11
04/08/2023 07:27,10
04/08/2023 07:28,9
04/08/2023 07:29,11
04/08/2023 07:30,10
04/08/2023 07:31,12
04/08/2023 07:32,12
04/08/2023 07:33,11
04/08/2023 07:34,14
04/08/2023 07:35,13
04/08/2023 07:37,10
04/08/2023 07:37,12
04/08/2023 07:38,12
04/08/2023 07:39,10
04/08/2023 07:40,12
04/08/2023 07:41,12
04/08/2023 07:43,14
04/08/2023 07:43,12
04/08/2023 07:44,13
04/08/2023 07:46,12
04/08/2023 07:46,15
04/08/2023 07:48,13
04/08/2023 07:48,11
04/08/2023 07:50,12
04/08/2023 07:50,11
04/08/2023 07:51,11
04/08/2023 07:52,12
04/08/2023 07:53,10
04/08/2023 07:54,11
04/08/2023 07:55,12
04/08/2023 07:56,14
04/08/2023 07:57,16
04/08/2023 07:59,17
04/08/2023 07:59,16
04/08/2023 08:00,17
04/08/2023 08:01,17
04/08/2023 08:03,17
04/08/2023 08:03,19
04/08/2023 08:04,18
04/08/2023 08:05,17
04/08/2023 08:06,17
04/08/2023 08:08,16
04/08/2023 08:08,16
04/08/2023 08:10,18
04/08/2023 08:10,17
04/08/2023 08:11,13
04/08/2023 08:12,15
04/08/2023 08:13,15
04/08/2023 08:14,13
04/08/2023 08:15,14
04/08/2023 08:16,14
04/08/2023 08:18,16
04/08/2023 08:18,15
04/08/2023 08:19,15
04/08/2023 08:21,13
04/08/2023 08:21,15
04/08/2023 08:24,16
04/08/2023 08:25,14
04/08/2023 08:26,18
04/08/2023 08:27,14
04/08/2023 08:28,11
04/08/2023 08:29,14
04/08/2023 08:30,12
04/08/2023 08:31,10
04/08/2023 08:32,12
