"","date","PM2.5","SRHUM","STEMP","T640_TEMP","PM2_5_933","PM10_933","SOX_933","NOX_933","Temp_933","Hum_933","PM2_5_950","PM10_950","SOX_950","NOX_950","Temp_950","Hum_950"
"1",2023-08-26 10:41:00,7.994143,36.23195,40.75,26.59937,4,4,497.74,12.35,23.9,90,6,6,602.23,46.05,24.1,95
"2",2023-08-26 10:39:00,8.153947,37.10564,40.375,26.67215,5,5,470.87,44.59,24,91,4,4,589.41,46.13,24.2,95
"3",2023-08-26 10:38:00,8.177133,37.14647,40.25,26.62185,5,5,467.97,47.11,23.9,91,6,6,593.86,45.72,24.2,95
"4",2023-08-26 10:37:00,8.258985,36.8571,40.29167,26.57213,4,4,467.33,46.65,24,90,6,6,595.54,45.8,24.2,95
"5",2023-08-26 10:35:00,8.436654,35.82774,40.75,26.6277,4,4,467.96,42.9,24,90,6,6,598.6,45.85,24.1,94
"6",2023-08-26 10:34:00,8.456685,35.45972,40.875,26.6853,6,6,468.88,43.51,23.9,90,5,5,597.21,45.72,24.1,94
"7",2023-08-26 10:33:00,8.466449,35.04478,41,26.57018,4,4,463.12,41.24,23.9,90,4,4,601.96,45.92,24,95
"8",2023-08-26 10:32:00,8.427785,34.67304,41.25,26.66045,7,7,463.77,40.64,23.9,90,5,5,601.76,46.23,24,95
"9",2023-08-26 10:31:00,8.330481,34.46291,41.33333,26.66039,7,8,461.67,40.34,23.8,91,8,9,598.38,46.61,23.9,95
"10",2023-08-26 10:30:00,8.239152,34.12921,41.5,26.48007,7,7,467.15,41.22,23.7,91,7,7,601.62,46.99,23.8,96
"11",2023-08-26 10:29:00,8.221532,34.25564,41.5,26.4254,5,5,469.56,41.66,23.6,92,5,5,605.27,46.4,23.8,96
"12",2023-08-26 10:28:00,8.311746,34.71291,41.375,26.39053,8,9,470.32,40.67,23.5,92,6,6,604.6,46.66,23.7,97
"13",2023-08-26 10:27:00,8.431459,35.04593,41.125,26.26797,5,5,473.03,41.81,23.5,92,4,4,602.57,46.14,23.7,97
"14",2023-08-26 10:26:00,8.554799,35.04641,41,26.19885,5,5,469.91,42.81,23.5,92,6,6,597.78,46.06,23.6,97
